expiry,days,T,type,K,bid,ask,mid,volume,openInterest,rel_spread,moneyness,F,q_impl,S_adj,iv_mkt,vega,otm
2026-07-24,30,0.0821917808219178,call,50.0,3.65,4.45,4.05,1.0,48.0,0.19753086419753094,0.9333582282030675,53.63590449954089,0.021941087669875542,53.47347984280341,0.27731688666996557,3.9957765110138914,False
2026-07-24,30,0.0821917808219178,call,51.0,2.9,3.75,3.325,8.0,6.0,0.2556390977443609,0.9520253927671288,53.63590449954089,0.021941087669875542,53.47347984280341,0.2846246302429053,4.924259478157697,False
2026-07-24,30,0.0821917808219178,call,52.0,2.3,2.75,2.525,10.0,5.0,0.1782178217821783,0.9706925573311902,53.63590449954089,0.021941087669875542,53.47347984280341,0.26195744835002854,5.527022877318065,False
2026-07-24,30,0.0821917808219178,call,53.0,1.57,2.16,1.8650000000000002,2.0,90.0,0.3163538873994638,0.9893597218952516,53.63590449954089,0.021941087669875542,53.47347984280341,0.2512406453243259,5.992905178429302,False
2026-07-24,30,0.0821917808219178,call,54.0,1.05,1.55,1.3,3.0,6.0,0.3846153846153846,1.008026886459313,53.63590449954089,0.021941087669875542,53.47347984280341,0.2403066460625016,6.1035166329336175,True
2026-07-24,30,0.0821917808219178,call,54.5,0.86,1.33,1.095,3.0,3.0,0.42922374429223753,1.0173604687413436,53.63590449954089,0.021941087669875542,53.47347984280341,0.241112264515002,5.998821956916531,True
2026-07-24,30,0.0821917808219178,call,55.5,0.65,1.01,0.8300000000000001,5.0,14.0,0.4337349397590361,1.036027633305405,53.63590449954089,0.021941087669875542,53.47347984280341,0.2555160633667106,5.576455346327344,True
2026-07-24,30,0.0821917808219178,call,56.0,0.43,0.71,0.57,5.0,48.0,0.49122807017543857,1.0453612155874357,53.63590449954089,0.021941087669875542,53.47347984280341,0.23281150120975436,5.0687624129600355,True
2026-07-24,30,0.0821917808219178,put,52.0,0.6,0.95,0.7749999999999999,3.0,129.0,0.4516129032258065,0.9706925573311902,53.63590449954089,0.021941087669875542,53.47347984280341,0.24025323640976343,5.439567284006109,True
2026-07-24,30,0.0821917808219178,put,53.0,0.95,1.56,1.255,9.0,225.0,0.4860557768924304,0.9893597218952516,53.63590449954089,0.021941087669875542,53.47347984280341,0.2552410253817613,5.995336036014524,True
2026-07-24,30,0.0821917808219178,put,53.5,1.26,1.69,1.475,17.0,2.0,0.2915254237288135,0.9986933041772822,53.63590449954089,0.021941087669875542,53.47347984280341,0.25247050712317853,6.100432126427775,True
2026-07-24,30,0.0821917808219178,put,54.0,1.49,1.9,1.6949999999999998,110.0,84.0,0.24188790560471973,1.008026886459313,53.63590449954089,0.021941087669875542,53.47347984280341,0.245550214215216,6.104600413154557,False
2026-07-24,30,0.0821917808219178,put,54.5,1.8,2.22,2.0100000000000002,62.0,13.0,0.20895522388059706,1.0173604687413436,53.63590449954089,0.021941087669875542,53.47347984280341,0.2500259208988735,6.0097906302807305,False
2026-07-24,30,0.0821917808219178,put,55.0,2.02,2.64,2.33,5.0,212.0,0.2660944206008584,1.0266940510233742,53.63590449954089,0.021941087669875542,53.47347984280341,0.25135501512504443,5.824503830929202,False
2026-07-24,30,0.0821917808219178,put,55.5,2.48,2.97,2.725,10.0,0.0,0.17981651376146796,1.036027633305405,53.63590449954089,0.021941087669875542,53.47347984280341,0.26205266700152485,5.606218692502824,False
2026-07-24,30,0.0821917808219178,put,56.0,2.73,3.35,3.04,2.0,18.0,0.20394736842105265,1.0453612155874357,53.63590449954089,0.021941087669875542,53.47347984280341,0.2547205396975668,5.245457972674556,False
2026-07-24,30,0.0821917808219178,put,56.5,3.1,4.05,3.575,8.0,9.0,0.2657342657342657,1.0546947978694663,53.63590449954089,0.021941087669875542,53.47347984280341,0.2864920375665754,5.131942020484624,False
2026-07-24,30,0.0821917808219178,put,57.0,3.45,4.2,3.825,1.0,27.0,0.19607843137254902,1.064028380151497,53.63590449954089,0.021941087669875542,53.47347984280341,0.25805285143680695,4.493209676073558,False
2026-07-24,30,0.0821917808219178,put,57.5,3.55,5.05,4.3,1.0,4.0,0.3488372093023256,1.0733619624335275,53.63590449954089,0.021941087669875542,53.47347984280341,0.27385205560057446,4.273141748274082,False
2026-07-24,30,0.0821917808219178,put,58.0,4.25,5.15,4.7,8.0,23.0,0.19148936170212774,1.0826955447155584,53.63590449954089,0.021941087669875542,53.47347984280341,0.2694301853791247,3.805631326641864,False
2026-07-24,30,0.0821917808219178,put,58.5,4.65,5.4,5.025,1.0,2.0,0.14925373134328357,1.092029126997589,53.63590449954089,0.021941087669875542,53.47347984280341,0.23506034217742586,2.78450029448652,False
2026-07-24,30,0.0821917808219178,put,59.0,5.3,6.0,5.65,5.0,40.0,0.12389380530973454,1.1013627092796197,53.63590449954089,0.021941087669875542,53.47347984280341,0.29319184985365854,3.36927649101647,False
2026-07-24,30,0.0821917808219178,put,59.5,5.35,6.75,6.05,,1.0,0.231404958677686,1.1106962915616503,53.63590449954089,0.021941087669875542,53.47347984280341,0.2780768603835425,2.7594827962807966,False
2026-07-24,30,0.0821917808219178,put,60.0,5.75,7.45,6.6,1.0,28.0,0.2575757575757576,1.120029873843681,53.63590449954089,0.021941087669875542,53.47347984280341,0.31244811458523336,2.952146032677688,False
2026-07-24,30,0.0821917808219178,put,60.5,6.25,7.75,7.0,,2.0,0.21428571428571427,1.1293634561257118,53.63590449954089,0.021941087669875542,53.47347984280341,0.2905764464195846,2.2827883426940114,False
2026-07-24,30,0.0821917808219178,put,62.0,6.65,10.5,8.575,,10.0,0.4489795918367347,1.1573642029718036,53.63590449954089,0.021941087669875542,53.47347984280341,0.3683084408921043,2.5604484066863566,False
2026-07-31,37,0.10136986301369863,call,48.0,5.2,6.7,5.95,11.0,11.0,0.25210084033613445,0.8960238990749448,53.66461748633878,0.01949159284224599,53.464257370487694,0.305321439588175,3.3207799295666436,False
2026-07-31,37,0.10136986301369863,call,51.0,3.1,3.75,3.425,10.0,4.0,0.1897810218978102,0.9520253927671288,53.66461748633878,0.01949159284224599,53.464257370487694,0.2710155741393675,5.556750323731982,False
2026-07-31,37,0.10136986301369863,call,53.0,1.75,2.35,2.05,12.0,110.0,0.2926829268292684,0.9893597218952516,53.66461748633878,0.01949159284224599,53.464257370487694,0.2517326319601116,6.6622887893907565,False
2026-07-31,37,0.10136986301369863,call,53.5,1.47,2.0,1.7349999999999999,2.0,2.0,0.3054755043227666,0.9986933041772822,53.66461748633878,0.01949159284224599,53.464257370487694,0.24365747345361644,6.770077410171258,False
2026-07-31,37,0.10136986301369863,call,54.0,1.26,1.81,1.5350000000000001,18.0,38.0,0.3583061889250814,1.008026886459313,53.66461748633878,0.01949159284224599,53.464257370487694,0.24915587140866025,6.785781989721103,True
2026-07-31,37,0.10136986301369863,call,54.5,1.0,1.59,1.295,19.0,16.0,0.4555984555984557,1.0173604687413436,53.66461748633878,0.01949159284224599,53.464257370487694,0.24531188630252607,6.705908462256159,True
2026-07-31,37,0.10136986301369863,call,55.0,1.04,1.38,1.21,168.0,495.0,0.28099173553719,1.0266940510233742,53.66461748633878,0.01949159284224599,53.464257370487694,0.26151342927511695,6.576059563996687,True
2026-07-31,37,0.10136986301369863,call,56.0,0.7,1.05,0.875,5.0,10.0,0.4000000000000001,1.0453612155874357,53.66461748633878,0.01949159284224599,53.464257370487694,0.26021612546035705,6.072956747813318,True
2026-07-31,37,0.10136986301369863,call,56.5,0.58,0.81,0.6950000000000001,4.0,27.0,0.33093525179856126,1.0546947978694663,53.66461748633878,0.01949159284224599,53.464257370487694,0.25234997139449483,5.670032281066169,True
2026-07-31,37,0.10136986301369863,call,57.0,0.47,0.61,0.54,24.0,62.0,0.25925925925925924,1.064028380151497,53.66461748633878,0.01949159284224599,53.464257370487694,0.24471672947489279,5.183707743396562,True
2026-07-31,37,0.10136986301369863,call,57.5,0.4,0.6,0.5,3.0,9.0,0.3999999999999999,1.0733619624335275,53.66461748633878,0.01949159284224599,53.464257370487694,0.2562966880356593,4.910857745867526,True
2026-07-31,37,0.10136986301369863,put,52.0,0.71,1.05,0.88,8.0,93.0,0.38636363636363646,0.9706925573311902,53.66461748633878,0.01949159284224599,53.464257370487694,0.23520631621749818,6.114140738740828,True
2026-07-31,37,0.10136986301369863,put,53.0,1.08,1.57,1.3250000000000002,13.0,101.0,0.3698113207547169,0.9893597218952516,53.66461748633878,0.01949159284224599,53.464257370487694,0.2422926862136631,6.656287581407779,True
2026-07-31,37,0.10136986301369863,put,53.5,1.45,1.77,1.6099999999999999,36.0,21.0,0.19875776397515532,0.9986933041772822,53.66461748633878,0.01949159284224599,53.464257370487694,0.24941854047384665,6.770076142631238,True
2026-07-31,37,0.10136986301369863,put,54.0,1.7,2.19,1.9449999999999998,34.0,47.0,0.2519280205655527,1.008026886459313,53.66461748633878,0.01949159284224599,53.464257370487694,0.2603354712932321,6.787051135242676,False
2026-07-31,37,0.10136986301369863,put,54.5,1.9,2.57,2.235,236.0,12.0,0.29977628635346754,1.0173604687413436,53.66461748633878,0.01949159284224599,53.464257370487694,0.26135931809608254,6.720844615428208,False
2026-07-31,37,0.10136986301369863,put,55.0,2.1,2.6,2.35,2.0,45.0,0.2127659574468085,1.0266940510233742,53.66461748633878,0.01949159284224599,53.464257370487694,0.23240482980925534,6.501412719654941,False
2026-07-31,37,0.10136986301369863,put,55.5,2.57,2.93,2.75,2.0,4.0,0.13090909090909103,1.036027633305405,53.66461748633878,0.01949159284224599,53.464257370487694,0.24328248326397706,6.280201117385728,False
2026-07-31,37,0.10136986301369863,put,56.0,2.61,3.45,3.0300000000000002,2.0,2.0,0.2772277227722773,1.0453612155874357,53.66461748633878,0.01949159284224599,53.464257370487694,0.23148580357531495,5.866029344385075,False
2026-07-31,37,0.10136986301369863,put,56.5,3.15,3.9,3.525,,1.0,0.2127659574468085,1.0546947978694663,53.66461748633878,0.01949159284224599,53.464257370487694,0.25326702209306223,5.67842083811859,False
2026-07-31,37,0.10136986301369863,put,57.5,3.65,4.8,4.225,1.0,3.0,0.27218934911242604,1.0733619624335275,53.66461748633878,0.01949159284224599,53.464257370487694,0.23613313012023895,4.608288254704383,False
2026-07-31,37,0.10136986301369863,put,58.0,4.45,5.25,4.85,4.0,4.0,0.1649484536082474,1.0826955447155584,53.66461748633878,0.01949159284224599,53.464257370487694,0.28142963949141997,4.843087450990245,False
2026-07-31,37,0.10136986301369863,put,59.0,4.95,5.95,5.45,2.0,6.0,0.18348623853211007,1.1013627092796197,53.66461748633878,0.01949159284224599,53.464257370487694,0.21091635763404618,2.628214809492465,False
2026-07-31,37,0.10136986301369863,put,60.0,6.25,6.95,6.6,45.0,45.0,0.10606060606060609,1.120029873843681,53.66461748633878,0.01949159284224599,53.464257370487694,0.2902183697188747,3.4593434471698346,False
2026-07-31,37,0.10136986301369863,put,62.5,7.45,11.0,9.225,,100.0,0.38482384823848237,1.1666977852538345,53.66461748633878,0.01949159284224599,53.464257370487694,0.40227887995924827,3.6028151776551502,False
2026-08-21,58,0.1589041095890411,call,45.0,8.65,9.25,8.95,1.0,6.0,0.06703910614525137,0.8400224053827607,53.78411910669972,0.011796587474374856,53.46967538497135,0.31574637087286617,2.8455723596049634,False
